ZIP5,ZIP3,Eligible Delivery Points,RU,HH,Email,Area,District
00982,009,5050,323,269,286,SOUTHERN,PUERTO RICO
00983,009,11647,820,667,737,SOUTHERN,PUERTO RICO
00984,009,3149,219,183,204,SOUTHERN,PUERTO RICO
00985,009,11646,865,703,773,SOUTHERN,PUERTO RICO
00986,009,2026,125,97,120,SOUTHERN,PUERTO RICO
00987,009,17351,1660,1313,1496,SOUTHERN,PUERTO RICO
00988,009,1191,92,72,86,SOUTHERN,PUERTO RICO
01001,010,7419,2926,2170,2512,ATLANTIC,MA-RI
01002,010,10242,4566,3217,3575,ATLANTIC,MA-RI
01004,010,2021,157,134,149,ATLANTIC,MA-RI
01005,010,2284,650,471,542,ATLANTIC,MA-RI
01007,010,6663,2715,2042,2258,ATLANTIC,MA-RI
01008,010,663,182,144,154,ATLANTIC,MA-RI
01009,010,974,105,89,95,ATLANTIC,MA-RI
01010,010,1762,626,468,533,ATLANTIC,MA-RI
01011,010,568,180,129,147,ATLANTIC,MA-RI
01012,010,348,31,27,29,ATLANTIC,MA-RI
01013,010,9504,3511,2520,3103,ATLANTIC,MA-RI
01014,010,599,53,47,53,ATLANTIC,MA-RI
01020,010,12696,4887,3523,4201,ATLANTIC,MA-RI
01021,010,789,95,84,93,ATLANTIC,MA-RI
01022,010,1086,465,349,414,ATLANTIC,MA-RI
01026,010,578,107,87,80,ATLANTIC,MA-RI
01027,010,8188,3016,2252,2469,ATLANTIC,MA-RI
01028,010,6274,2766,2029,2344,ATLANTIC,MA-RI
01029,010,667,119,94,109,ATLANTIC,MA-RI
01030,010,5112,1989,1474,1689,ATLANTIC,MA-RI
01031,010,662,112,80,100,ATLANTIC,MA-RI
01032,010,363,51,38,44,ATLANTIC,MA-RI
01033,010,2704,965,726,833,ATLANTIC,MA-RI
01034,010,991,294,217,246,ATLANTIC,MA-RI
01035,010,2007,832,611,685,ATLANTIC,MA-RI
01036,010,2211,834,621,702,ATLANTIC,MA-RI
01037,010,370,58,51,54,ATLANTIC,MA-RI
01038,010,1211,359,284,308,ATLANTIC,MA-RI
01039,010,854,192,154,154,ATLANTIC,MA-RI
01040,010,14001,5531,3983,4811,ATLANTIC,MA-RI
01041,010,2082,121,100,117,ATLANTIC,MA-RI
01050,010,1170,338,262,286,ATLANTIC,MA-RI
01053,010,995,298,230,227,ATLANTIC,MA-RI
01054,010,1033,211,167,157,ATLANTIC,MA-RI
01056,010,8762,3230,2370,2832,ATLANTIC,MA-RI
01057,010,3492,1129,843,960,ATLANTIC,MA-RI
01059,010,203,8,7,8,ATLANTIC,MA-RI
01060,010,6505,2920,2110,2281,ATLANTIC,MA-RI
01061,010,983,107,96,100,ATLANTIC,MA-RI
01062,010,4663,1867,1393,1438,ATLANTIC,MA-RI
01066,010,257,14,14,14,ATLANTIC,MA-RI
01068,010,931,281,207,232,ATLANTIC,MA-RI
01069,010,3834,1224,938,1044,ATLANTIC,MA-RI
01070,010,293,76,57,64,ATLANTIC,MA-RI
01071,010,766,131,96,108,ATLANTIC,MA-RI
01072,010,759,260,191,206,ATLANTIC,MA-RI
01073,010,2782,967,722,812,ATLANTIC,MA-RI
01074,010,440,17,15,16,ATLANTIC,MA-RI
01075,010,7095,2882,2135,2380,ATLANTIC,MA-RI
01077,010,4466,1604,1198,1367,ATLANTIC,MA-RI
01079,010,607,24,19,24,ATLANTIC,MA-RI
01080,010,1162,376,264,343,ATLANTIC,MA-RI
01081,010,838,201,160,179,ATLANTIC,MA-RI
01082,010,5013,1548,1114,1317,ATLANTIC,MA-RI
01083,010,1482,94,89,92,ATLANTIC,MA-RI
01085,010,15220,5875,4324,4928,ATLANTIC,MA-RI
01086,010,1499,79,70,74,ATLANTIC,MA-RI
01088,010,259,26,22,24,ATLANTIC,MA-RI
01089,010,11270,4632,3335,4005,ATLANTIC,MA-RI
01090,010,836,59,54,57,ATLANTIC,MA-RI
01092,010,713,56,51,56,ATLANTIC,MA-RI
01093,010,302,15,12,15,ATLANTIC,MA-RI
01094,010,191,10,9,9,ATLANTIC,MA-RI
01095,010,5999,2565,1896,2178,ATLANTIC,MA-RI
01096,010,1307,354,272,290,ATLANTIC,MA-RI
01098,010,708,186,143,157,ATLANTIC,MA-RI
01101,011,2930,234,204,229,ATLANTIC,MA-RI
01103,011,1673,719,531,653,ATLANTIC,MA-RI
01104,011,8815,3982,2666,3550,ATLANTIC,MA-RI
01105,011,4564,1799,1270,1631,ATLANTIC,MA-RI
01106,011,5935,3110,2242,2554,ATLANTIC,MA-RI
01107,011,3814,1433,985,1317,ATLANTIC,MA-RI
01108,011,10081,4227,2904,3786,ATLANTIC,MA-RI
01109,011,10249,4615,3028,4085,ATLANTIC,MA-RI
01115,011,236,5,4,5,ATLANTIC,MA-RI
01116,011,312,24,22,23,ATLANTIC,MA-RI
01118,011,5912,2895,2019,2509,ATLANTIC,MA-RI
01119,011,5211,2459,1719,2153,ATLANTIC,MA-RI
01128,011,1107,523,382,457,ATLANTIC,MA-RI
01129,011,2999,1443,982,1241,ATLANTIC,MA-RI
01138,011,1147,76,65,75,ATLANTIC,MA-RI
01139,011,1007,34,31,34,ATLANTIC,MA-RI
01151,011,3580,1528,1033,1362,ATLANTIC,MA-RI
01201,012,19174,7047,5174,6046,ATLANTIC,MA-RI
01202,012,2368,84,77,81,ATLANTIC,MA-RI
01220,012,4111,1096,826,953,ATLANTIC,MA-RI
01222,012,523,131,100,101,ATLANTIC,MA-RI
01223,012,1689,455,345,396,ATLANTIC,MA-RI
01224,012,91,14,12,11,ATLANTIC,MA-RI
01225,012,1720,427,336,373,ATLANTIC,MA-RI
01226,012,2693,986,733,846,ATLANTIC,MA-RI
01227,012,252,22,20,20,ATLANTIC,MA-RI
01229,012,67,8,7,8,ATLANTIC,MA-RI
01230,012,3748,1265,964,1027,ATLANTIC,MA-RI
01235,012,1948,404,319,347,ATLANTIC,MA-RI
01236,012,968,211,168,178,ATLANTIC,MA-RI
01237,012,1735,452,343,416,ATLANTIC,MA-RI
01238,012,3165,812,610,695,ATLANTIC,MA-RI
01240,012,3584,899,682,761,ATLANTIC,MA-RI
01242,012,385,49,39,43,ATLANTIC,MA-RI
01243,012,205,5,4,5,ATLANTIC,MA-RI
01244,012,293,15,14,12,ATLANTIC,MA-RI
01245,012,664,136,108,114,ATLANTIC,MA-RI
01247,012,7448,2130,1592,1865,ATLANTIC,MA-RI
01253,012,692,124,94,112,ATLANTIC,MA-RI
01254,012,643,185,133,150,ATLANTIC,MA-RI
01255,012,505,96,77,81,ATLANTIC,MA-RI
01256,012,303,68,52,59,ATLANTIC,MA-RI
01257,012,1345,325,253,288,ATLANTIC,MA-RI
01258,012,555,108,88,95,ATLANTIC,MA-RI
01259,012,405,89,68,72,ATLANTIC,MA-RI
01262,012,1145,213,161,200,ATLANTIC,MA-RI
01264,012,208,5,5,5,ATLANTIC,MA-RI
01266,012,817,234,186,196,ATLANTIC,MA-RI
01267,012,3568,1071,827,861,ATLANTIC,MA-RI
01270,012,347,147,110,127,ATLANTIC,MA-RI
01301,013,7444,2482,1880,2038,ATLANTIC,MA-RI
01302,013,972,45,38,42,ATLANTIC,MA-RI
01330,013,903,161,132,138,ATLANTIC,MA-RI
01331,013,6179,2060,1507,1776,ATLANTIC,MA-RI
01337,013,1357,316,241,258,ATLANTIC,MA-RI
01339,013,853,149,120,119,ATLANTIC,MA-RI
01340,013,920,207,146,170,ATLANTIC,MA-RI
01341,013,884,222,166,169,ATLANTIC,MA-RI
01342,013,580,131,98,113,ATLANTIC,MA-RI
01343,013,66,6,6,6,ATLANTIC,MA-RI
01344,013,769,205,144,169,ATLANTIC,MA-RI
01346,013,182,12,10,12,ATLANTIC,MA-RI
01349,013,475,128,85,105,ATLANTIC,MA-RI
01351,013,1172,310,232,252,ATLANTIC,MA-RI
01354,013,625,173,140,137,ATLANTIC,MA-RI
01355,013,434,126,96,95,ATLANTIC,MA-RI
01360,013,1417,392,293,307,ATLANTIC,MA-RI
01364,013,3675,1144,844,994,ATLANTIC,MA-RI
01366,013,623,205,163,169,ATLANTIC,MA-RI
01368,013,605,141,109,121,ATLANTIC,MA-RI
01370,013,1780,517,398,406,ATLANTIC,MA-RI
01373,013,2264,649,500,551,ATLANTIC,MA-RI
01375,013,1862,795,557,636,ATLANTIC,MA-RI
01376,013,2525,619,472,525,ATLANTIC,MA-RI
01378,013,332,55,48,52,ATLANTIC,MA-RI
01379,013,486,22,20,21,ATLANTIC,MA-RI
01380,013,104,3,3,3,ATLANTIC,MA-RI
01420,014,16780,6344,4418,5523,ATLANTIC,MA-RI
01430,014,2729,992,756,843,ATLANTIC,MA-RI
